Genotypes,mg_ml_glucose,Block,Trials
BB,0.185,1,1
BB,0.108,2,1
BB,0.386,3,1
BB,0.091,4,1
BB,0.182,6,1
BB,0.148,7,1
BB,0.124,8,1
BB,0.075,1,1
SP,0.047,2,1
SP,0.043,3,1
SP,0.045,4,1
SP,0.066,5,1
SP,0.112,6,1
SP,0.205,7,1
SP,0.26,8,1
BB,0.245,1,2
BB,0.348,2,2
BB,0.253,3,2
BB,0.316,4,2
BB,0.245,5,2
BB,0.186,6,2
BB,0.408,7,2
BB,0.216,8,2
BB,0.305,9,2
BB,0.498,10,2
SP,0.056,1,2
SP,0.047,2,2
SP,0.023,3,2
SP,0.068,4,2
SP,0.006,5,2
SP,0.053,7,2
SP,0.007,8,2
SP,0.012,10,2
